Facility Name,Primary Service Category,Layers of Care Provided,Parish,City,Physical Address,Intake / Admissions Phone,After-Hours Coverage Line,Admin Email Contact,Age Groups Treated (Ages),Total Psychiatric Bed Count,Specialized Clinical Tracks,Medicaid Enrolled (Y/N),Medicare Enrolled (Y/N),Commercial Insurance Accepted,Discharge Planning / Referral Liaison,program_name,clarity_fit,notes
"Tri Parish Rehabilitation Hospital, LLC",Hospital,Hospital,Vernon,Leesville,8088 Hawks Road,3374628880.0,,lhiggins@triparishhospital.com,,0,Substance Use Disorder,,,,LARISA  HIGGINS,"Tri Parish Rehabilitation Hospital, LLC",,
PAM Specialty Hospital of Lafayette,Hospital,Hospital,Lafayette,Lafayette,204 Energy Parkway,3372321905.0,,jelenbaas@postacute.com,,0,Substance Use Disorder,,,,Jerry  Elenbaas,PAM Specialty Hospital of Lafayette,,
Park Place Surgical Hospital,Hospital,Hospital,Lafayette,Lafayette,4811 Ambassador Caffery Parkway,3372378119.0,,bmoore@parkplacesurgery.com,,0,Substance Use Disorder,,,,JBrandon  Moore,Park Place Surgical Hospital,,
University Hospital & Clinics,Hospital,Hospital,Lafayette,Lafayette,2390 West Congress St.,3372616000.0,,kdhebert@lgh.org,,0,Substance Use Disorder,,,,Katherine D Hebert,University Hospital & Clinics,,
Women''''s and Children''''s Hospital,Hospital,Hospital,Lafayette,Lafayette,4600 Ambassador Caffery Parkway,3375219100.0,,Leona.boullion@HCAhealthcare.com,,0,Substance Use Disorder,,,,LEONA  BOULLION,Women''''s and Children''''s Hospital,,
AVAIL HEALTH LAKE CHARLES HOSPITAL,Hospital,Hospital,Calcasieu,Lake Charles,3730 NELSON ROAD,3375130817.0,,dpatel@amdglobal.com,,0,Substance Use Disorder,,,,"Dharmesh  Patel, MD",AVAIL HEALTH LAKE CHARLES HOSPITAL,,
Christus Lake Area Hospital,Hospital,Hospital,Calcasieu,Lake Charles,4200 Nelson Road,3374746370.0,,robbin.odom@christushealth.org,,0,Substance Use Disorder,,,,Robbin  Odom,Christus Lake Area Hospital,,
Christus St. Patrick Hospital,Hospital,Hospital,Calcasieu,Lake Charles,524 Dr. Michael DeBakey Drive,3374362511.0,,donald.lloyd@christushealth.org,,0,Substance Use Disorder,,,,MR Donald  Lloyd,Christus St. Patrick Hospital,,
Memorial Specialty Hospital,Hospital,Hospital,Calcasieu,Lake Charles,524 Dr. Michael Debakey Drive,3374808990.0,,rlafleur@lcmh.com,,0,Substance Use Disorder,,,,Robert  LaFleur,Memorial Specialty Hospital,,
Crescent City Surgical Centre,Hospital,Hospital,Jefferson,Metairie,3017 Galleria Drive,5048302500.0,,klong@ccsurg.com,,0,Substance Use Disorder,,,,Kirk  Long,Crescent City Surgical Centre,,
Omega Hospital LLC,Hospital,Hospital,Jefferson,Metairie,2525 Severn Avenue,5048324200.0,,krousselle@omegahospital.com,,0,Substance Use Disorder,,,,Karen  Rousselle,Omega Hospital LLC,,
DeSoto Regional Health System,Hospital,Hospital,Desoto,Mansfield,207 Jefferson Street,3188724610.0,,toddeppler@desotoregional.com,,0,Substance Use Disorder,,,,Verna  Mitchell,DeSoto Regional Health System,,
Sabine Medical Center,Hospital,Hospital,Sabine,Many,240 Highland Drive,3182565691.0,,Calving@sabinemedicalcenter.net,,0,Substance Use Disorder,,,,Calvin  Green,Sabine Medical Center,,
BridgePoint Continuing Care Hospital,Hospital,Hospital,Jefferson,Marrero,"1101 Medical Center Blvd., 7th Floor",5043496836.0,,tkknoske@bridgepointhealthcare.com,,0,Substance Use Disorder,,,,THOMAS  KNOSKE,BridgePoint Continuing Care Hospital,,
West Jefferson Medical Center,Hospital,Hospital,Jefferson,Marrero,1101 Medical Center Boulevard,5043475511.0,,Nancy.Cassagne@wjmc.org,,0,Substance Use Disorder,,,,Nancy R Cassagne,West Jefferson Medical Center,,
"Ochsner Medical Center - Northshore,LLC",Hospital,Hospital,St. Tammany,Slidell,100 Medical Center Drive,9856465000.0,,bgoodson@ochsner.org,,0,Substance Use Disorder,,,,Bradley R Goodson,"Ochsner Medical Center - Northshore,LLC",,
Slidell Memorial Hospital,Hospital,Hospital,St. Tammany,Slidell,1001 Gause Boulevard,9852802200.0,,bill.davis@slidellmemorial.org,,0,Substance Use Disorder,,,,"MR John (""Bill"") W Davis",Slidell Memorial Hospital,,
Southern Surgical Hospital,Hospital,Hospital,St. Tammany,Slidell,1700 W. Lindberg Drive,9856410600.0,,mpisciotta@uspi.com,,0,Substance Use Disorder,,,,Michael  Pisciotta,Southern Surgical Hospital,,
Sterling Surgical Hospital,Hospital,Hospital,St. Tammany,Slidell,989 Robert Blvd.,9856908200.0,,cdaniel@sterlingsurgical.net,,0,Substance Use Disorder,,,,Chris  Daniel,Sterling Surgical Hospital,,
Madison Parish Hospital,Hospital,Hospital,Madison,Tallulah,900 Johnson Street,3185742374.0,,tedt@madisonparishhospital.com,,0,Substance Use Disorder,,,,Theodore  Topolewski,Madison Parish Hospital,,
West Calcasieu Cameron Hospital,Hospital,Hospital,Calcasieu,Sulphur,701 Cypress Street,3375277034.0,,jfruge@wcch.com/dford@wcch.com,,0,Substance Use Disorder,,,,Janie  Fruge,West Calcasieu Cameron Hospital,,
Sterlington Rehabilitation Hospital,Hospital,Hospital,Ouachita,Sterlington,370 W Hickory Street,3182814531.0,,cwaldrop@sterlingtonrehab.com,,0,Substance Use Disorder,,,,Cathy  Martin,Sterlington Rehabilitation Hospital,,
Cornerstone Hospital of Southwest Louisiana,Hospital,Hospital,Calcasieu,Sulphur,703 Cypress Street,3373106000.0,,jeffery.clark@chghospitals.com,,0,Substance Use Disorder,,,,Jeffrey  CLARK,Cornerstone Hospital of Southwest Louisiana,,
Christus Health Shreveport - Bossier,Hospital,Hospital,Caddo,Shreveport,1453 E. Bert Kouns Industrial Drive,3186815000.0,,isaac.palmer@christushealth.org,,0,Substance Use Disorder,,,,Isaac R Palmer,Christus Health Shreveport - Bossier,,
LifeCare Hospitals of Shreveport,Hospital,Hospital,Caddo,Shreveport,8001 Youree Drive,3186888504.0,,brent.martin@lifecare-hospitals.com,,0,Substance Use Disorder,,,,Brent  Martin,LifeCare Hospitals of Shreveport,,
"Promise Hospital of Louisiana,Inc",Hospital,Hospital,Caddo,Shreveport,1800 Irving Place  Suite 100,3184254096.0,,rick.stockton@promisehealthcare.com,,0,Substance Use Disorder,,,,MR Rick  Stockton,"Promise Hospital of Louisiana,Inc",,
Shriners Hospitals for Children,Hospital,Hospital,Caddo,Shreveport,3100 Samford Avenue,3182225704.0,,kgreen@shrinenet.org,,0,Substance Use Disorder,,,,Mr. Gary Green,Shriners Hospitals for Children,,
Specialists Hospital Shreveport,Hospital,Hospital,Caddo,Shreveport,1500 Line Avenue,3182133800.0,,kmoore@spechosp.com,,0,Substance Use Disorder,,,,Kandi  Moore,Specialists Hospital Shreveport,,
University Health Shreveport,Hospital,Hospital,Caddo,Shreveport,1541 Kings Highway,3186755000.0,,mark.randolph@uhsystem.com,,0,Substance Use Disorder,,,,MARK  RANDOLPH,University Health Shreveport,,
Cornerstone Hospital West Monroe,Hospital,Hospital,Ouachita,West Monroe,6198 Cypress Street,3183965600.0,,rcsimpson@chghospitals.com,,0,Substance Use Disorder,,,,MR Robert C Simpson,Cornerstone Hospital West Monroe,,
Louisiana Extended Care Hospital of West Monroe,Hospital,Hospital,Ouachita,West Monroe,"503 McMillan Road, 3rd Floor",3183294300.0,,cleta.munholland@lhcgroup.com,,0,Substance Use Disorder,,,,Cleta  Munholland,Louisiana Extended Care Hospital of West Monroe,,
"Specialty Hospital of Winnfield, Inc",Hospital,Hospital,Winn,Winnfield,915 1st Street,3186480212.0,,chuckjurek@specialtyhospital.net,,0,Substance Use Disorder,,,,Chuck  Jurek,"Specialty Hospital of Winnfield, Inc",,
Winn Parish Medical Center,Hospital,Hospital,Winn,Winnfield,301 West Boundary Ave.,3186483000.0,,bbogle@ahmgt.com,,0,Substance Use Disorder,,,,BRYAN  BOGLE,Winn Parish Medical Center,,
Lane Regional Medical Center,Hospital,Hospital,East Baton Rouge,Zachary,6300 Main Street,2256584000.0,,lmeese@lanermc.org,,0,Substance Use Disorder,,,,LARRY  MEESE,Lane Regional Medical Center,,
Zachary-AMG Specialty Hospital,Hospital,Hospital,East Baton Rouge,Zachary,"4601 McHugh Road, Bldg. B",2256831600.0,,aebeling@amgihm.com,,0,Substance Use Disorder,,,,APRIL  EBELING,Zachary-AMG Specialty Hospital,,
Franklin Medical Center,Hospital,Hospital,Franklin,Winnsboro,2106 Loop Road,3184359411.0,,bkramer@fmc-cares.com,,0,Substance Use Disorder,,,,Blake  Kramer,Franklin Medical Center,,
Thibodaux Regional Medical Center,Hospital,Hospital,Lafourche,Thibodaux,602 N. Acadia Road,9854475500.0,,greg.stock@thibodaux.com,,0,Substance Use Disorder,,,,MR Greg  Stock,Thibodaux Regional Medical Center,,
North Caddo Medical Center,Hospital,Hospital,Caddo,Vivian,815 South Pine Street,3183753235.0,,djones@wkhs.com,,0,Substance Use Disorder,,,,David C Jones,North Caddo Medical Center,,
Promise Hospital of Miss Lou,Hospital,Hospital,Concordia,Vidalia,209 Front Street,3183366500.0,,mharrell@promisehealthcare.com,,0,Substance Use Disorder,,,,Michael  Harrell,Promise Hospital of Miss Lou,,
St. Landry Extended Care Hospital,Hospital,Hospital,St. Landry,Opelousas,"539 E. Prudhomme Street, 6th Floor",3379485184.0,,Biff.David@lhcgroup.com,,0,Substance Use Disorder,,,,Biff David,St. Landry Extended Care Hospital,,
ACCORD REHABILITATION HOSPITAL,Hospital,Hospital,Iberville,Plaquemine,59213 River West Drive,2256878100.0,,julenemcalister@aol.com,,0,Substance Use Disorder,,,,JULENE  MCALISTER,ACCORD REHABILITATION HOSPITAL,,
Optima Specialty Hospital,Hospital,Hospital,Lafayette,Lafayette,1131 Rue DeBelier,3379910571.0,,glynis.deroche@acadiahealthcare.com,,0,Substance Use Disorder,,,,GLYNIS  DEROCHE,Optima Specialty Hospital,,
"Beacon Behavioral Hospital - New Orleans, Inc",Hospital,Hospital,Orleans,New Orleans,"14500 Hayne Blvd., Suite 200",5042100460.0,,rickyr@beaconbh.com,,0,Substance Use Disorder,,,,RICHARD  ROBESON,"Beacon Behavioral Hospital - New Orleans, Inc",,
Childrens Hospital,Hospital,Hospital,Orleans,New Orleans,200 Henry Clay Avenue,5048999511.0,,John.nickens@lcmchealth.org,,0,Substance Use Disorder,,,,John  Nickens,Childrens Hospital,,
Cobalt Rehabilitation Hospital New Orleans,Hospital,Hospital,Jefferson,New Orleans,3801 Bienville Street,5049303500.0,,stranchina@cobaltrehab.com,,0,Substance Use Disorder,,,,SCOTT  TRANCHINA,Cobalt Rehabilitation Hospital New Orleans,,
Curahealth New Orleans,Hospital,Hospital,Orleans,New Orleans,3601 Coliseum St.,5048991555.0,,richard.daugdrill@curahealth.com,,0,Substance Use Disorder,,,,Richard  Draughill,Curahealth New Orleans,,
New Orleans East Hospital,Hospital,Hospital,Orleans,New Orleans,5620 Read Boulevard,5045926600.0,,Takeisha.davis@noehospital.org,,0,Substance Use Disorder,,,,TAKEISHA  DAVIS,New Orleans East Hospital,,
Ochsner Medical Center,Hospital,Hospital,Jefferson,New Orleans,1516 Jefferson Highway,5048423000.0,,rwolterman@ochsner.org,,0,Substance Use Disorder,,,,MICHAEL F HULEFELD,Ochsner Medical Center,,
St. Catherine Memorial Hospital,Hospital,Hospital,Orleans,New Orleans,14500 Hayne Blvd.,5042103000.0,,lexisnunez@stcatherine-hospital.com,,0,Substance Use Disorder,,,,LEXIS L NUNEZ,St. Catherine Memorial Hospital,,
St. Charles Surgical Hospital,Hospital,Hospital,Orleans,New Orleans,1717 St. Charles Ave.,5047177118.0,,myra.digange@scsh.com,,0,Substance Use Disorder,,,,Myra  Deigange,St. Charles Surgical Hospital,,
Touro Infirmary,Hospital,Hospital,Orleans,New Orleans,1401 Foucher Street,5048978247.0,,susan.andrews@lcmchealth.org,,0,Substance Use Disorder,,,,KEVIN  HARDY,Touro Infirmary,,
Oakdale Community Hospital,Hospital,Hospital,Allen,Oakdale,130 N Hospital Drive,3182153225.0,,probinson@ahmgt.com,,0,Substance Use Disorder,,,,Patrick  Robinson,Oakdale Community Hospital,,
Pointe Coupee General Hospital,Hospital,Hospital,Pointe Coupee,New Roads,2202 False River Drive,2256386331.0,,colinde@pcgh.org,,0,Substance Use Disorder,,,,Chad E Olinde,Pointe Coupee General Hospital,,
West Carroll Memorial Hospital,Hospital,Hospital,West Carroll,Oak Grove,706 Ross Street,3184283237.0,,rrmorris@wchsystems.com,,0,Substance Use Disorder,,,,Raymond  Morris,West Carroll Memorial Hospital,,
Richardson Medical Center,Hospital,Hospital,Richland,Rayville,254 Highway 3048,3187284181.0,,jamesb@richardsonmed.org,,0,Substance Use Disorder,,,,"James W Barrett, Jr",Richardson Medical Center,,
West Feliciana Parish Hospital,Hospital,Hospital,West Feliciana,Saint Francisville,"5266 Commerce Street, Building B",2256353811.0,,chastantl@wfph.org,,0,Substance Use Disorder,,,,"MR Lee  Chastant, Iii",West Feliciana Parish Hospital,,
Northern Louisiana Medical Center,Hospital,Hospital,Lincoln,Ruston,401 East Vaughn Avenue,3182542100.0,,roy_finch@chs.net,,0,Substance Use Disorder,,,,KEITH  NEWTON,Northern Louisiana Medical Center,,
Ruston Regional Specialty Hospital,Hospital,Hospital,Lincoln,Ruston,1401 Ezell Street,3182513126.0,,markr@priorityhospitalgroup.com,,0,Substance Use Disorder,,,,LEIGH  STOREY,Ruston Regional Specialty Hospital,,
"Our Lady of Lourdes Regional Medical Center, Inc.",Hospital,Hospital,Lafayette,Lafayette,4801 Ambassador Caffery Parkway,3374702100.0,,Bryan.Lee@fmolhs.org,,0,Substance Use Disorder,,,,Bryan  Lee,"Our Lady of Lourdes Regional Medical Center, Inc.",,
Louisiana Extended Care Hospital of Lafayette,Hospital,Hospital,Lafayette,Lafayette,"2810 Ambassador Caffery Parkway, 6th Floor",3372898180.0,,kevin.frank@lhcgroup.com,,0,Substance Use Disorder,,,,KEVIN  FRANK,Louisiana Extended Care Hospital of Lafayette,,
"The NeuroMedical Center Rehabilitation Hospital, LLC",Hospital,Hospital,East Baton Rouge,Baton Rouge,10101 Park Rowe Avenue Ste 600,2259062999.0,,smix@nmcrehab.com,,0,Substance Use Disorder,,,,SHERRY F MIX,"The NeuroMedical Center Rehabilitation Hospital, LLC",,
The Spine Hospital of Louisiana,Hospital,Hospital,East Baton Rouge,Baton Rouge,10105 Park Row Circle Ste. 250,2257639900.0,,robert.blair@spinehola.com,,0,Substance Use Disorder,,,,ROBERT  BLAIR,The Spine Hospital of Louisiana,,
Womans Hospital,Hospital,Hospital,East Baton Rouge,Baton Rouge,100 Woman's Way,2259271300.0,,teri.fontenot@womans.org,,0,Substance Use Disorder,,,,MS Teri G Fontenot,Womans Hospital,,
Surgical Specialty Center of Baton Rouge,Hospital,Hospital,East Baton Rouge,Baton Rouge,8080 Bluebonnet Blvd.,2254088080.0,,ann.heine@sscbr.com,,0,Substance Use Disorder,,,,ANN  HEINE,Surgical Specialty Center of Baton Rouge,,
Sage Rehabilitation Hospital,Hospital,Hospital,East Baton Rouge,Baton Rouge,8000 Summa Avenue,2258190703.0,,gbryant@sage-rehab.org,,0,Substance Use Disorder,,,,GAYLA  BRYANT,Sage Rehabilitation Hospital,,
"Promise Hospital of Baton Rouge, Inc",Hospital,Hospital,East Baton Rouge,Baton Rouge,"3600 Florida Blvd, 4th floor",2252365440.0,,Karen.Crayton@Promisehealthcare.com,,0,Substance Use Disorder,,,,Karen  Crayton,"Promise Hospital of Baton Rouge, Inc",,
Baton Rouge Rehab Hospital,Hospital,Hospital,East Baton Rouge,Baton Rouge,8595 United Plaza Boulevard,2259270567.0,,trisha.guidry@brrehab.com,,0,Substance Use Disorder,,,,Trisha  Guidry,Baton Rouge Rehab Hospital,,
Bethesda Rehabilitation Hospital,Hospital,Hospital,East Baton Rouge,Baton Rouge,8225 Summa Ave.,2257672034.0,,bethesdarehab@att.net,,0,Substance Use Disorder,,,,MATTHEW  MURPHY,Bethesda Rehabilitation Hospital,,
Ochsner Medical Center - Baton Rouge,Hospital,Hospital,East Baton Rouge,Baton Rouge,17000 Medical Center Drive,2257522470.0,,emcmillen@ochsner.org,,0,Substance Use Disorder,,,,MR Eric  McMillen,Ochsner Medical Center - Baton Rouge,,
Promise Hospital Baton Rouge,Hospital,Hospital,East Baton Rouge,Baton Rouge,5130 Mancuso Lane,2254909637.0,,kiley.cedotal@promisehealthcare.com,,0,Substance Use Disorder,,,,Kiley  Cedotal,Promise Hospital Baton Rouge,,
St. Martin Hospital,Hospital,Hospital,St. Martin,Breaux Bridge,210 Champagne Boulevard,3373322178.0,,kowyble@lgh.org,,0,Substance Use Disorder,,,,Karen O Wyble,St. Martin Hospital,,
Cornerstone Hospital of Bossier City,Hospital,Hospital,Bossier,Bossier City,4900 Medical Drive,3186773300.0,,sburnette@chghospitals.com,,0,Substance Use Disorder,,,,MR Sheri  Burnette,Cornerstone Hospital of Bossier City,,
Pathway Rehabilitation Hospital of Bossier,Hospital,Hospital,Bossier,Bossier City,4900 Medical Drive,3188415555.0,,jmanning@pathrehab.com,,0,Substance Use Disorder,,,,MR James  Manning,Pathway Rehabilitation Hospital of Bossier,,
St. Bernard Parish Hospital,Hospital,Hospital,St. Bernard,Chalmette,8000 West Judge Perez Drive,5048269500.0,,KKeene@ochsner.org,,0,Substance Use Disorder,,,,KIM  KEENE,St. Bernard Parish Hospital,,
Bunkie General Hospital,Hospital,Hospital,Avoyelles,Bunkie,427 Evergreen St.,3183466681.0,,ldeville@bunkiegeneral.com,,0,Substance Use Disorder,,,,Linda F Deville,Bunkie General Hospital,,
Reeves Memorial Medical Center,Hospital,Hospital,Union,Bernice,409 First Street,3182859066.0,,Kerry.goff@reevesmemorial.com,,0,Substance Use Disorder,,,,Kerry  Goff,Reeves Memorial Medical Center,,
"Cypress Grove Behavioral Health, LLC",Hospital,Hospital,Morehouse,Bastrop,4673 Eugene Ware Blvd.,3182812448.0,,bret.moon@meridianprograms.com,,0,Substance Use Disorder,,,,Bret  Moon,"Cypress Grove Behavioral Health, LLC",,
Central Louisiana Surgical Hospital,Hospital,Hospital,Rapides,Alexandria,651 North Bolton Ave,3184496400.0,,LBarker@clshospital.com,,0,Substance Use Disorder,,,,MS LOUISE  BARKER,Central Louisiana Surgical Hospital,,
"Compass Behavioral Center of Alexandria, Inc",Hospital,Hospital,Rapides,Alexandria,6410 Masonic Drive,3184730035.0,,andre@compasshealthcare.com,,0,Substance Use Disorder,,,,ANDRE  ROBICHAUX,"Compass Behavioral Center of Alexandria, Inc",,
HealthSouth Rehabilitation Hospital of Alexandria,Hospital,Hospital,Rapides,Alexandria,104 North 3rd Street,3184491370.0,,james.mcclung@healthsouth.com,,0,Substance Use Disorder,,,,James  McClung,HealthSouth Rehabilitation Hospital of Alexandria,,
"Compass Behavioral Center of Houma, Inc",Hospital,Hospital,Terrebonne,Houma,4701 West Park Avenue,9858761715.0,,charlien@compasshealthcare.com,,0,Substance Use Disorder,,,,Charles  Naparalla,"Compass Behavioral Center of Houma, Inc",,
Terrebonne General Medical Center,Hospital,Hospital,Terrebonne,Houma,8166 Main Street,9858734141.0,,dean.verret@tgmc.com,,0,Substance Use Disorder,,,,MS Phyllis  Peoples,Terrebonne General Medical Center,,
Jennings American Legion Hospital,Hospital,Hospital,Jefferson Davis,Jennings,1634 Elton Road,3376167000.0,,dwilliams@jalh.com,,0,Substance Use Disorder,,,,DANA  WILLIAMS,Jennings American Legion Hospital,,
Jennings Senior Care Hospital,Hospital,Hospital,Jefferson Davis,Jennings,"1 Hospital Drive, Suite 201",3378241558.0,,Kirk@compasshealthcare.com,,0,Substance Use Disorder,,,,Kirk  Perron,Jennings Senior Care Hospital,,
Heart Hospital of Lafayette,Hospital,Hospital,Lafayette,Lafayette,1105 Kaliste Saloom Road,3374701000.0,,danna.crain@lourdesrmc.com,,0,Substance Use Disorder,,,,Danna M Crain,Heart Hospital of Lafayette,,
Lafayette General Medical Center,Hospital,Hospital,Lafayette,Lafayette,1214 Coolidge Avenue,3372897991.0,,pgandy@lgmc.com,,0,Substance Use Disorder,,,,MR Patrick  Gandy,Lafayette General Medical Center,,
Lafayette General Surgical Hospital,Hospital,Hospital,Lafayette,Lafayette,1000 W. Pinhook Rd. Suite 100,3372898095.0,,khdooley@lgh.org,,0,Substance Use Disorder,,,,KIMBERLY  DOOLEY,Lafayette General Surgical Hospital,,
Lake Pines Hospital,Hospital,Hospital,Jefferson,Kenner,3639 Loyola Ave,5043052700.0,,Debbie.tullier@lakepineshospital.com,,0,Substance Use Disorder,,,,Debbie  Tullier,Lake Pines Hospital,,
Oceans Behavioral Hospital of Greater New Orleans,Hospital,Hospital,Jefferson,Kenner,716 Village Road,5044648895.0,,dspiers@oceanshealthcare.com,,0,Substance Use Disorder,,,,Deborah  Spiers,Oceans Behavioral Hospital of Greater New Orleans,,
"St. Theresa Specialty Hospital, LLC",Hospital,Hospital,Jefferson,Kenner,3601 Loyola Drive,5049047561.0,,staffupcoaghing@gmasil.com,,0,Substance Use Disorder,,,,latrenda c barnes,"St. Theresa Specialty Hospital, LLC",,
Abrom Kaplan Memorial Hospital,Hospital,Hospital,Vermilion,Kaplan,1310 West Seventh Street,3376438300.0,,bquebodeaux@lgh.org,,0,Substance Use Disorder,,,,Bryce  Quebodeaux,Abrom Kaplan Memorial Hospital,,
"Beacon Behavioral Hospital - Northshore, Inc.",Hospital,Hospital,St. Tammany,Lacombe,"64026 Hwy 434, Suite 300 (3rd Floor)",9859820226.0,,danielles@beaconbh.com,,0,Substance Use Disorder,,,,DANIELLE  SONES,"Beacon Behavioral Hospital - Northshore, Inc.",,
Oceans Behavioral Hospital of Kentwood,Hospital,Hospital,Tangipahoa,Kentwood,921 Avenue G,9852290717.0,,fritz.nelson@oceanshealthcare.com,,0,Substance Use Disorder,,,,Frederick  NELSON,Oceans Behavioral Hospital of Kentwood,,
"Southeast Regional Medical Center, Inc.",Hospital,Hospital,Tangipahoa,Kentwood,719 Avenue G,9852299193.0,,srmcltac@att.net,,0,Substance Use Disorder,,,,"LEON  EMERY, JR","Southeast Regional Medical Center, Inc.",,
Sage Specialty Care Hospital,Hospital,Hospital,Livingston,Denham Springs,8375 Florida Boulevard,2256652664.0,,sfaulkner@sageltac.com,,0,Substance Use Disorder,,,,Sharon  Faulkner,Sage Specialty Care Hospital,,
Acadia General Hospital,Hospital,Hospital,Acadia,Crowley,1305 Crowley Rayne Highway,3377833222.0,,jjmitchell@lgh.org,,0,Substance Use Disorder,,,,Joseph J Mitchell,Acadia General Hospital,,
Fairway Medical Center,Hospital,Hospital,St. Tammany,Covington,67252 Industry Lane,9858016252.0,,cdrouant@fairwaymedical.com,,0,Substance Use Disorder,,,,SCOTT P BOUDREAUX,Fairway Medical Center,,
Riverland Medical Center,Hospital,Hospital,Concordia,Ferriday,1700 Wallace Blvd.,3187576551.0,,wrucker@riverlandmedical.com,,0,Substance Use Disorder,,,,William H Rucker,Riverland Medical Center,,
St. Elizabeth Hospital,Hospital,Hospital,Ascension,Gonzales,1125 West Highway 30,2256475000.0,,robert.burgess@steh.com,,0,Substance Use Disorder,,,,Robert  Burgess,St. Elizabeth Hospital,,
