sheet,visibility,formula_count,direct_formula_reads,boundary
LA_SBH_MODIFIERS,visible,0,,Direct explicit sheet references only; table/named references and manual handoffs not expanded
LA_SBH_JAN_REFERENCE,visible,0,,Direct explicit sheet references only; table/named references and manual handoffs not expanded
README,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
DECISIONS,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
CHECKS,visible,88,CHECKS; INDEX; INVOICES; MANAGEMENT_REPORT; SERVICE_LEDGER,Direct explicit sheet references only; table/named references and manual handoffs not expanded
BENEFITS_REFERENCE,visible,0,,Direct explicit sheet references only; table/named references and manual handoffs not expanded
UR_PAYER,visible,1302,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
PATIENTS,visible,1,INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
ENCOUNTERS,visible,9102,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
IOP_VISITS,visible,29146,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
PRESSURE_TEST,visible,4,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
IOP_ROSTER,visible,79,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
SERVICE_LEDGER,visible,88408,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
IOP_SESSIONS,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
IOP_GRID,visible,1446,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
SESSION_ATTENDANCE,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
STAFF_STANDARDS,visible,22,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
STAFF_DETAIL,visible,47453,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
STAFF_REPORT,visible,102,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
RECEIPT_ALLOCATIONS,visible,12515,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
INVOICES,visible,62,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
MANAGEMENT_REPORT,visible,613,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
PAYER_MIX,visible,518,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
STATE_MIX,visible,242,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
BENEFIT_REVIEW,visible,62,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
ASSISTANCE,visible,32,CHECKS; INDEX; SETUP,Direct explicit sheet references only; table/named references and manual handoffs not expanded
SOURCE_MAP,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
FORMULA_CATALOG,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
SOURCE_FORMULAS,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
DEFINITIONS,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
FEATURE_MAP,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
CORRECTIONS,visible,2,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
EXAMPLES,visible,62,CHECKS; INDEX,Direct explicit sheet references only; table/named references and manual handoffs not expanded
